[03/16/2021 20:00:19] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:00:29] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 0.859 M
[03/16/2021 20:00:33] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 4.6, FR training L2 loss 58103.63, FR validation L2 loss 1869.20, FNR 94.40 %
[03/16/2021 20:01:00] {complexTrain.py:233} INFO - Epochs: 12 / 410, Time: 2.4, FR training L2 loss 57.72, FR validation L2 loss 56.63, FNR 96.15 %
[03/16/2021 20:01:02] {complexTrain.py:233} INFO - Epochs: 13 / 410, Time: 2.4, FR training L2 loss 59.62, FR validation L2 loss 52.74, FNR 96.35 %
[03/16/2021 20:01:04] {complexTrain.py:233} INFO - Epochs: 14 / 410, Time: 2.4, FR training L2 loss 430.64, FR validation L2 loss 255.71, FNR 95.75 %
[03/16/2021 20:01:07] {complexTrain.py:233} INFO - Epochs: 15 / 410, Time: 2.4, FR training L2 loss 57.40, FR validation L2 loss 54.82, FNR 95.71 %
[03/16/2021 20:01:09] {complexTrain.py:233} INFO - Epochs: 16 / 410, Time: 2.4, FR training L2 loss 65.44, FR validation L2 loss 65.20, FNR 96.20 %
[03/16/2021 20:01:12] {complexTrain.py:233} INFO - Epochs: 17 / 410, Time: 2.4, FR training L2 loss 63.75, FR validation L2 loss 54.73, FNR 96.25 %
[03/16/2021 20:01:14] {complexTrain.py:233} INFO - Epochs: 18 / 410, Time: 2.4, FR training L2 loss 79.15, FR validation L2 loss 185.04, FNR 96.16 %
[03/16/2021 20:01:16] {complexTrain.py:233} INFO - Epochs: 19 / 410, Time: 2.4, FR training L2 loss 166.77, FR validation L2 loss 106.35, FNR 96.93 %
[03/16/2021 20:01:19] {complexTrain.py:233} INFO - Epochs: 20 / 410, Time: 2.4, FR training L2 loss 64.42, FR validation L2 loss 410.07, FNR 97.69 %
[03/16/2021 20:01:21] {complexTrain.py:233} INFO - Epochs: 21 / 410, Time: 2.4, FR training L2 loss 64.07, FR validation L2 loss 52.87, FNR 92.55 %
[03/16/2021 20:01:24] {complexTrain.py:233} INFO - Epochs: 22 / 410, Time: 2.4, FR training L2 loss 52.16, FR validation L2 loss 50.81, FNR 87.38 %
[03/16/2021 20:01:26] {complexTrain.py:233} INFO - Epochs: 23 / 410, Time: 2.4, FR training L2 loss 56.43, FR validation L2 loss 56.37, FNR 85.73 %
[03/16/2021 20:01:28] {complexTrain.py:233} INFO - Epochs: 24 / 410, Time: 2.4, FR training L2 loss 52.14, FR validation L2 loss 50.56, FNR 79.47 %
[03/16/2021 20:01:31] {complexTrain.py:233} INFO - Epochs: 25 / 410, Time: 2.4, FR training L2 loss 50.18, FR validation L2 loss 49.94, FNR 78.53 %
[03/16/2021 20:01:33] {complexTrain.py:233} INFO - Epochs: 26 / 410, Time: 2.4, FR training L2 loss 48.83, FR validation L2 loss 87.01, FNR 76.07 %
[03/16/2021 20:01:35] {complexTrain.py:233} INFO - Epochs: 27 / 410, Time: 2.4, FR training L2 loss 46.17, FR validation L2 loss 46.44, FNR 74.05 %
[03/16/2021 20:01:38] {complexTrain.py:233} INFO - Epochs: 28 / 410, Time: 2.4, FR training L2 loss 44.99, FR validation L2 loss 48.78, FNR 73.31 %
[03/16/2021 20:01:40] {complexTrain.py:233} INFO - Epochs: 29 / 410, Time: 2.4, FR training L2 loss 53.23, FR validation L2 loss 50.36, FNR 70.27 %
[03/16/2021 20:01:43] {complexTrain.py:233} INFO - Epochs: 30 / 410, Time: 2.4, FR training L2 loss 39.10, FR validation L2 loss 46.60, FNR 68.07 %
[03/16/2021 20:01:45] {complexTrain.py:233} INFO - Epochs: 31 / 410, Time: 2.4, FR training L2 loss 38.97, FR validation L2 loss 47.31, FNR 68.43 %
[03/16/2021 20:01:47] {complexTrain.py:233} INFO - Epochs: 32 / 410, Time: 2.4, FR training L2 loss 38.22, FR validation L2 loss 52.30, FNR 68.32 %
[03/16/2021 20:01:50] {complexTrain.py:233} INFO - Epochs: 33 / 410, Time: 2.4, FR training L2 loss 41.59, FR validation L2 loss 46.42, FNR 65.65 %
[03/16/2021 20:01:52] {complexTrain.py:233} INFO - Epochs: 34 / 410, Time: 2.4, FR training L2 loss 34.35, FR validation L2 loss 46.78, FNR 65.04 %
[03/16/2021 20:01:54] {complexTrain.py:233} INFO - Epochs: 35 / 410, Time: 2.4, FR training L2 loss 34.86, FR validation L2 loss 47.69, FNR 64.52 %
[03/16/2021 20:01:57] {complexTrain.py:233} INFO - Epochs: 36 / 410, Time: 2.3, FR training L2 loss 32.67, FR validation L2 loss 46.15, FNR 62.80 %
[03/16/2021 20:01:59] {complexTrain.py:233} INFO - Epochs: 37 / 410, Time: 2.4, FR training L2 loss 33.23, FR validation L2 loss 48.07, FNR 64.84 %
[03/16/2021 20:02:02] {complexTrain.py:233} INFO - Epochs: 38 / 410, Time: 2.4, FR training L2 loss 30.76, FR validation L2 loss 47.05, FNR 62.95 %
[03/16/2021 20:02:04] {complexTrain.py:233} INFO - Epochs: 39 / 410, Time: 2.4, FR training L2 loss 30.91, FR validation L2 loss 47.37, FNR 61.01 %
[03/16/2021 20:02:06] {complexTrain.py:233} INFO - Epochs: 40 / 410, Time: 2.4, FR training L2 loss 28.73, FR validation L2 loss 47.80, FNR 61.63 %
[03/16/2021 20:02:09] {complexTrain.py:233} INFO - Epochs: 41 / 410, Time: 2.4, FR training L2 loss 28.73, FR validation L2 loss 49.76, FNR 61.05 %
[03/16/2021 20:02:11] {complexTrain.py:233} INFO - Epochs: 42 / 410, Time: 2.4, FR training L2 loss 27.69, FR validation L2 loss 48.51, FNR 60.49 %
[03/16/2021 20:02:13] {complexTrain.py:233} INFO - Epochs: 43 / 410, Time: 2.4, FR training L2 loss 26.98, FR validation L2 loss 48.87, FNR 61.22 %
[03/16/2021 20:02:16] {complexTrain.py:233} INFO - Epochs: 44 / 410, Time: 2.4, FR training L2 loss 27.26, FR validation L2 loss 49.10, FNR 60.18 %
[03/16/2021 20:02:18] {complexTrain.py:233} INFO - Epochs: 45 / 410, Time: 2.4, FR training L2 loss 23.40, FR validation L2 loss 47.41, FNR 58.55 %
[03/16/2021 20:02:21] {complexTrain.py:233} INFO - Epochs: 46 / 410, Time: 2.4, FR training L2 loss 23.11, FR validation L2 loss 47.46, FNR 56.73 %
[03/16/2021 20:02:23] {complexTrain.py:233} INFO - Epochs: 47 / 410, Time: 2.4, FR training L2 loss 23.87, FR validation L2 loss 51.83, FNR 58.36 %
[03/16/2021 20:02:25] {complexTrain.py:233} INFO - Epochs: 48 / 410, Time: 2.4, FR training L2 loss 24.48, FR validation L2 loss 48.63, FNR 57.11 %
[03/16/2021 20:02:28] {complexTrain.py:233} INFO - Epochs: 49 / 410, Time: 2.4, FR training L2 loss 23.92, FR validation L2 loss 51.63, FNR 57.21 %
[03/16/2021 20:02:30] {complexTrain.py:233} INFO - Epochs: 50 / 410, Time: 2.4, FR training L2 loss 22.86, FR validation L2 loss 48.16, FNR 57.28 %
[03/16/2021 20:02:32] {complexTrain.py:233} INFO - Epochs: 51 / 410, Time: 2.4, FR training L2 loss 22.11, FR validation L2 loss 48.92, FNR 56.54 %
[03/16/2021 20:02:35] {complexTrain.py:233} INFO - Epochs: 52 / 410, Time: 2.4, FR training L2 loss 22.32, FR validation L2 loss 49.37, FNR 56.22 %
[03/16/2021 20:02:37] {complexTrain.py:233} INFO - Epochs: 53 / 410, Time: 2.4, FR training L2 loss 21.31, FR validation L2 loss 48.06, FNR 55.54 %
[03/16/2021 20:02:40] {complexTrain.py:233} INFO - Epochs: 54 / 410, Time: 2.4, FR training L2 loss 21.57, FR validation L2 loss 47.31, FNR 55.65 %
[03/16/2021 20:02:42] {complexTrain.py:233} INFO - Epochs: 55 / 410, Time: 2.4, FR training L2 loss 21.63, FR validation L2 loss 49.43, FNR 54.98 %
[03/16/2021 20:02:44] {complexTrain.py:233} INFO - Epochs: 56 / 410, Time: 2.4, FR training L2 loss 21.73, FR validation L2 loss 49.14, FNR 54.82 %
[03/16/2021 20:02:47] {complexTrain.py:233} INFO - Epochs: 57 / 410, Time: 2.4, FR training L2 loss 20.69, FR validation L2 loss 48.44, FNR 55.27 %
[03/16/2021 20:02:49] {complexTrain.py:233} INFO - Epochs: 58 / 410, Time: 2.4, FR training L2 loss 19.96, FR validation L2 loss 48.86, FNR 54.79 %
[03/16/2021 20:02:52] {complexTrain.py:233} INFO - Epochs: 59 / 410, Time: 2.4, FR training L2 loss 20.29, FR validation L2 loss 48.05, FNR 55.08 %
[03/16/2021 20:02:54] {complexTrain.py:233} INFO - Epochs: 60 / 410, Time: 2.4, FR training L2 loss 20.64, FR validation L2 loss 48.02, FNR 55.10 %
[03/16/2021 20:02:56] {complexTrain.py:233} INFO - Epochs: 61 / 410, Time: 2.4, FR training L2 loss 19.93, FR validation L2 loss 48.03, FNR 55.32 %
[03/16/2021 20:02:59] {complexTrain.py:233} INFO - Epochs: 62 / 410, Time: 2.4, FR training L2 loss 19.87, FR validation L2 loss 48.07, FNR 55.10 %
[03/16/2021 20:03:01] {complexTrain.py:233} INFO - Epochs: 63 / 410, Time: 2.4, FR training L2 loss 19.73, FR validation L2 loss 48.48, FNR 54.93 %
[03/16/2021 20:03:03] {complexTrain.py:233} INFO - Epochs: 64 / 410, Time: 2.4, FR training L2 loss 20.38, FR validation L2 loss 48.42, FNR 54.92 %
[03/16/2021 20:03:06] {complexTrain.py:233} INFO - Epochs: 65 / 410, Time: 2.4, FR training L2 loss 20.05, FR validation L2 loss 48.43, FNR 54.96 %
[03/16/2021 20:03:08] {complexTrain.py:233} INFO - Epochs: 66 / 410, Time: 2.4, FR training L2 loss 20.12, FR validation L2 loss 48.97, FNR 55.02 %
[03/16/2021 20:03:11] {complexTrain.py:233} INFO - Epochs: 67 / 410, Time: 2.4, FR training L2 loss 20.12, FR validation L2 loss 48.45, FNR 54.51 %
[03/16/2021 20:03:13] {complexTrain.py:233} INFO - Epochs: 68 / 410, Time: 2.4, FR training L2 loss 19.27, FR validation L2 loss 48.77, FNR 54.64 %
[03/16/2021 20:03:15] {complexTrain.py:233} INFO - Epochs: 69 / 410, Time: 2.4, FR training L2 loss 19.23, FR validation L2 loss 48.77, FNR 54.69 %
[03/16/2021 20:03:18] {complexTrain.py:233} INFO - Epochs: 70 / 410, Time: 2.4, FR training L2 loss 19.29, FR validation L2 loss 48.44, FNR 54.85 %
[03/16/2021 20:03:20] {complexTrain.py:233} INFO - Epochs: 71 / 410, Time: 2.4, FR training L2 loss 19.64, FR validation L2 loss 48.56, FNR 54.57 %
[03/16/2021 20:03:22] {complexTrain.py:233} INFO - Epochs: 72 / 410, Time: 2.4, FR training L2 loss 20.00, FR validation L2 loss 48.52, FNR 55.13 %
[03/16/2021 20:03:25] {complexTrain.py:233} INFO - Epochs: 73 / 410, Time: 2.4, FR training L2 loss 19.18, FR validation L2 loss 48.34, FNR 55.02 %
[03/16/2021 20:03:27] {complexTrain.py:233} INFO - Epochs: 74 / 410, Time: 2.4, FR training L2 loss 19.70, FR validation L2 loss 48.65, FNR 54.71 %
[03/16/2021 20:03:30] {complexTrain.py:233} INFO - Epochs: 75 / 410, Time: 2.4, FR training L2 loss 19.05, FR validation L2 loss 48.56, FNR 54.34 %
[03/16/2021 20:03:32] {complexTrain.py:233} INFO - Epochs: 76 / 410, Time: 2.4, FR training L2 loss 19.50, FR validation L2 loss 48.21, FNR 54.50 %
[03/16/2021 20:03:34] {complexTrain.py:233} INFO - Epochs: 77 / 410, Time: 2.4, FR training L2 loss 18.89, FR validation L2 loss 48.27, FNR 54.68 %
[03/16/2021 20:03:37] {complexTrain.py:233} INFO - Epochs: 78 / 410, Time: 2.4, FR training L2 loss 20.63, FR validation L2 loss 48.38, FNR 54.69 %
[03/16/2021 20:03:39] {complexTrain.py:233} INFO - Epochs: 79 / 410, Time: 2.4, FR training L2 loss 18.86, FR validation L2 loss 48.32, FNR 54.92 %
[03/16/2021 20:03:41] {complexTrain.py:233} INFO - Epochs: 80 / 410, Time: 2.4, FR training L2 loss 20.03, FR validation L2 loss 48.08, FNR 54.66 %
[03/16/2021 20:03:44] {complexTrain.py:233} INFO - Epochs: 81 / 410, Time: 2.4, FR training L2 loss 18.99, FR validation L2 loss 48.13, FNR 54.46 %
[03/16/2021 20:03:46] {complexTrain.py:233} INFO - Epochs: 82 / 410, Time: 2.4, FR training L2 loss 19.34, FR validation L2 loss 48.28, FNR 54.54 %
[03/16/2021 20:03:49] {complexTrain.py:233} INFO - Epochs: 83 / 410, Time: 2.4, FR training L2 loss 18.44, FR validation L2 loss 48.08, FNR 54.49 %
[03/16/2021 20:03:51] {complexTrain.py:233} INFO - Epochs: 84 / 410, Time: 2.4, FR training L2 loss 18.79, FR validation L2 loss 48.34, FNR 54.53 %
[03/16/2021 20:03:53] {complexTrain.py:233} INFO - Epochs: 85 / 410, Time: 2.4, FR training L2 loss 19.87, FR validation L2 loss 48.34, FNR 54.46 %
[03/16/2021 20:03:56] {complexTrain.py:233} INFO - Epochs: 86 / 410, Time: 2.4, FR training L2 loss 19.02, FR validation L2 loss 48.37, FNR 54.49 %
[03/16/2021 20:03:58] {complexTrain.py:233} INFO - Epochs: 87 / 410, Time: 2.4, FR training L2 loss 18.29, FR validation L2 loss 48.45, FNR 54.53 %
[03/16/2021 20:04:01] {complexTrain.py:233} INFO - Epochs: 88 / 410, Time: 2.4, FR training L2 loss 18.60, FR validation L2 loss 48.51, FNR 54.48 %
[03/16/2021 20:04:03] {complexTrain.py:233} INFO - Epochs: 89 / 410, Time: 2.4, FR training L2 loss 18.62, FR validation L2 loss 48.43, FNR 54.47 %
[03/16/2021 20:04:05] {complexTrain.py:233} INFO - Epochs: 90 / 410, Time: 2.4, FR training L2 loss 19.10, FR validation L2 loss 48.30, FNR 54.49 %
[03/16/2021 20:04:08] {complexTrain.py:233} INFO - Epochs: 91 / 410, Time: 2.4, FR training L2 loss 19.25, FR validation L2 loss 48.35, FNR 54.59 %
[03/16/2021 20:04:10] {complexTrain.py:233} INFO - Epochs: 92 / 410, Time: 2.4, FR training L2 loss 18.20, FR validation L2 loss 48.36, FNR 54.57 %
[03/16/2021 20:04:13] {complexTrain.py:233} INFO - Epochs: 93 / 410, Time: 2.4, FR training L2 loss 18.03, FR validation L2 loss 48.40, FNR 54.68 %
[03/16/2021 20:04:15] {complexTrain.py:233} INFO - Epochs: 94 / 410, Time: 2.4, FR training L2 loss 18.75, FR validation L2 loss 48.46, FNR 54.46 %
[03/16/2021 20:04:17] {complexTrain.py:233} INFO - Epochs: 95 / 410, Time: 2.4, FR training L2 loss 18.93, FR validation L2 loss 48.37, FNR 54.60 %
[03/16/2021 20:04:20] {complexTrain.py:233} INFO - Epochs: 96 / 410, Time: 2.4, FR training L2 loss 18.66, FR validation L2 loss 48.36, FNR 54.60 %
[03/16/2021 20:04:22] {complexTrain.py:233} INFO - Epochs: 97 / 410, Time: 2.4, FR training L2 loss 19.26, FR validation L2 loss 48.28, FNR 54.55 %
[03/16/2021 20:04:25] {complexTrain.py:233} INFO - Epochs: 98 / 410, Time: 2.4, FR training L2 loss 18.80, FR validation L2 loss 48.47, FNR 54.47 %
[03/16/2021 20:04:27] {complexTrain.py:233} INFO - Epochs: 99 / 410, Time: 2.4, FR training L2 loss 19.38, FR validation L2 loss 48.17, FNR 54.41 %
[03/16/2021 20:04:29] {complexTrain.py:233} INFO - Epochs: 100 / 410, Time: 2.4, FR training L2 loss 18.95, FR validation L2 loss 48.16, FNR 54.58 %
[03/16/2021 20:04:32] {complexTrain.py:233} INFO - Epochs: 101 / 410, Time: 2.4, FR training L2 loss 19.16, FR validation L2 loss 48.31, FNR 54.64 %
[03/16/2021 20:04:34] {complexTrain.py:233} INFO - Epochs: 102 / 410, Time: 2.4, FR training L2 loss 18.48, FR validation L2 loss 48.30, FNR 54.48 %
[03/16/2021 20:04:37] {complexTrain.py:233} INFO - Epochs: 103 / 410, Time: 2.4, FR training L2 loss 19.61, FR validation L2 loss 48.24, FNR 54.79 %
[03/16/2021 20:04:39] {complexTrain.py:233} INFO - Epochs: 104 / 410, Time: 2.4, FR training L2 loss 18.65, FR validation L2 loss 48.39, FNR 54.50 %
[03/16/2021 20:04:41] {complexTrain.py:233} INFO - Epochs: 105 / 410, Time: 2.4, FR training L2 loss 19.66, FR validation L2 loss 48.34, FNR 54.64 %
[03/16/2021 20:04:44] {complexTrain.py:233} INFO - Epochs: 106 / 410, Time: 2.4, FR training L2 loss 19.86, FR validation L2 loss 48.26, FNR 54.73 %
[03/16/2021 20:04:46] {complexTrain.py:233} INFO - Epochs: 107 / 410, Time: 2.4, FR training L2 loss 18.77, FR validation L2 loss 48.22, FNR 54.48 %
[03/16/2021 20:04:49] {complexTrain.py:233} INFO - Epochs: 108 / 410, Time: 2.4, FR training L2 loss 19.65, FR validation L2 loss 48.23, FNR 54.48 %
[03/16/2021 20:04:51] {complexTrain.py:233} INFO - Epochs: 109 / 410, Time: 2.4, FR training L2 loss 20.57, FR validation L2 loss 48.29, FNR 54.45 %
[03/16/2021 20:04:53] {complexTrain.py:233} INFO - Epochs: 110 / 410, Time: 2.4, FR training L2 loss 19.96, FR validation L2 loss 48.43, FNR 54.62 %
[03/16/2021 20:04:56] {complexTrain.py:233} INFO - Epochs: 111 / 410, Time: 2.4, FR training L2 loss 19.18, FR validation L2 loss 48.35, FNR 54.64 %
[03/16/2021 20:04:58] {complexTrain.py:233} INFO - Epochs: 112 / 410, Time: 2.4, FR training L2 loss 19.52, FR validation L2 loss 48.38, FNR 54.66 %
[03/16/2021 20:05:00] {complexTrain.py:233} INFO - Epochs: 113 / 410, Time: 2.4, FR training L2 loss 19.18, FR validation L2 loss 48.39, FNR 54.55 %
[03/16/2021 20:05:03] {complexTrain.py:233} INFO - Epochs: 114 / 410, Time: 2.4, FR training L2 loss 19.24, FR validation L2 loss 48.25, FNR 54.61 %
[03/16/2021 20:05:05] {complexTrain.py:233} INFO - Epochs: 115 / 410, Time: 2.4, FR training L2 loss 20.10, FR validation L2 loss 48.42, FNR 54.54 %
[03/16/2021 20:05:08] {complexTrain.py:233} INFO - Epochs: 116 / 410, Time: 2.4, FR training L2 loss 19.24, FR validation L2 loss 48.39, FNR 54.56 %
[03/16/2021 20:05:10] {complexTrain.py:233} INFO - Epochs: 117 / 410, Time: 2.4, FR training L2 loss 19.28, FR validation L2 loss 48.28, FNR 54.67 %
[03/16/2021 20:05:12] {complexTrain.py:233} INFO - Epochs: 118 / 410, Time: 2.4, FR training L2 loss 19.43, FR validation L2 loss 48.36, FNR 54.62 %
[03/16/2021 20:05:15] {complexTrain.py:233} INFO - Epochs: 119 / 410, Time: 2.4, FR training L2 loss 17.80, FR validation L2 loss 48.27, FNR 54.61 %
[03/16/2021 20:05:17] {complexTrain.py:233} INFO - Epochs: 120 / 410, Time: 2.4, FR training L2 loss 18.87, FR validation L2 loss 48.21, FNR 54.49 %
[03/16/2021 20:05:20] {complexTrain.py:233} INFO - Epochs: 121 / 410, Time: 2.4, FR training L2 loss 18.91, FR validation L2 loss 48.51, FNR 54.58 %
[03/16/2021 20:05:22] {complexTrain.py:233} INFO - Epochs: 122 / 410, Time: 2.4, FR training L2 loss 18.26, FR validation L2 loss 48.36, FNR 54.68 %
[03/16/2021 20:05:24] {complexTrain.py:233} INFO - Epochs: 123 / 410, Time: 2.4, FR training L2 loss 19.32, FR validation L2 loss 48.33, FNR 54.67 %
[03/16/2021 20:05:27] {complexTrain.py:233} INFO - Epochs: 124 / 410, Time: 2.4, FR training L2 loss 19.57, FR validation L2 loss 48.21, FNR 54.69 %
[03/16/2021 20:05:29] {complexTrain.py:233} INFO - Epochs: 125 / 410, Time: 2.4, FR training L2 loss 18.96, FR validation L2 loss 48.12, FNR 54.62 %
[03/16/2021 20:05:32] {complexTrain.py:233} INFO - Epochs: 126 / 410, Time: 2.6, FR training L2 loss 19.40, FR validation L2 loss 48.56, FNR 54.59 %
[03/16/2021 20:05:35] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:05:45] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 1.200 M
[03/16/2021 20:05:49] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 4.7, FR training L2 loss 7894.82, FR validation L2 loss 420.97, FNR 94.81 %
[03/16/2021 20:05:52] {complexTrain.py:233} INFO - Epochs: 2 / 410, Time: 2.5, FR training L2 loss 1118.30, FR validation L2 loss 492.11, FNR 95.20 %
[03/16/2021 20:05:54] {complexTrain.py:233} INFO - Epochs: 3 / 410, Time: 2.5, FR training L2 loss 741.50, FR validation L2 loss 375.69, FNR 94.83 %
[03/16/2021 20:05:57] {complexTrain.py:233} INFO - Epochs: 4 / 410, Time: 2.5, FR training L2 loss 604.70, FR validation L2 loss 333.14, FNR 95.02 %
[03/16/2021 20:05:59] {complexTrain.py:233} INFO - Epochs: 5 / 410, Time: 2.5, FR training L2 loss 470.20, FR validation L2 loss 217.83, FNR 94.81 %
[03/16/2021 20:06:02] {complexTrain.py:233} INFO - Epochs: 6 / 410, Time: 2.4, FR training L2 loss 333.89, FR validation L2 loss 136.59, FNR 94.65 %
[03/16/2021 20:06:04] {complexTrain.py:233} INFO - Epochs: 7 / 410, Time: 2.5, FR training L2 loss 270.26, FR validation L2 loss 174.92, FNR 94.22 %
[03/16/2021 20:06:06] {complexTrain.py:233} INFO - Epochs: 8 / 410, Time: 2.5, FR training L2 loss 254.21, FR validation L2 loss 148.73, FNR 94.73 %
[03/16/2021 20:06:09] {complexTrain.py:233} INFO - Epochs: 9 / 410, Time: 2.5, FR training L2 loss 196.94, FR validation L2 loss 127.12, FNR 95.03 %
[03/16/2021 20:06:11] {complexTrain.py:233} INFO - Epochs: 10 / 410, Time: 2.5, FR training L2 loss 176.66, FR validation L2 loss 97.61, FNR 95.12 %
[03/16/2021 20:06:14] {complexTrain.py:233} INFO - Epochs: 11 / 410, Time: 2.5, FR training L2 loss 146.15, FR validation L2 loss 121.50, FNR 94.77 %
[03/16/2021 20:06:16] {complexTrain.py:233} INFO - Epochs: 12 / 410, Time: 2.4, FR training L2 loss 136.60, FR validation L2 loss 82.68, FNR 94.93 %
[03/16/2021 20:06:19] {complexTrain.py:233} INFO - Epochs: 13 / 410, Time: 2.5, FR training L2 loss 112.67, FR validation L2 loss 65.61, FNR 94.42 %
[03/16/2021 20:06:21] {complexTrain.py:233} INFO - Epochs: 14 / 410, Time: 2.4, FR training L2 loss 108.64, FR validation L2 loss 299.32, FNR 95.29 %
[03/16/2021 20:06:24] {complexTrain.py:233} INFO - Epochs: 15 / 410, Time: 2.5, FR training L2 loss 82.42, FR validation L2 loss 65.42, FNR 94.75 %
[03/16/2021 20:06:26] {complexTrain.py:233} INFO - Epochs: 16 / 410, Time: 2.4, FR training L2 loss 76.88, FR validation L2 loss 87.04, FNR 94.54 %
[03/16/2021 20:06:29] {complexTrain.py:233} INFO - Epochs: 17 / 410, Time: 2.5, FR training L2 loss 70.88, FR validation L2 loss 57.45, FNR 94.37 %
