[03/16/2021 20:32:40] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               fc_downsampling: 4                             
                  fc_kernel_in: 25                            
                fc_kernel_size: 3                             
                fc_module_type: regression                    
                  fc_n_filters: 32                            
                   fc_n_layers: 20                            
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 48                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fc: 0.0003                        
                         lr_fr: 0.0003                        
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fc: 100                           
                   n_epochs_fr: 410                           
                    n_training: 50000                         
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/deepfreq_norm_snr40_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 1000                          
                      use_cuda: True                          
[03/16/2021 20:36:22] {train.py:450} INFO - [Network] Number of parameters in the frequency-representation module : 1.200 M
[03/16/2021 20:36:22] {train.py:452} INFO - [Network] Number of parameters in the frequency-counting module : 0.065 M
[03/16/2021 20:37:52] {train.py:252} INFO - Epochs: 1 / 510, Time: 89.7, FR training L2 loss 87.57, FR validation L2 loss 54.36, FNR 95.29 %
[03/16/2021 21:10:47] {train.py:252} INFO - Epochs: 24 / 510, Time: 86.4, FR training L2 loss 35.47, FR validation L2 loss 35.28, FNR 46.46 %
[03/16/2021 21:12:13] {train.py:252} INFO - Epochs: 25 / 510, Time: 86.0, FR training L2 loss 32.80, FR validation L2 loss 33.87, FNR 42.44 %
[03/16/2021 21:13:39] {train.py:252} INFO - Epochs: 26 / 510, Time: 86.3, FR training L2 loss 31.57, FR validation L2 loss 33.30, FNR 38.47 %
[03/16/2021 21:15:06] {train.py:252} INFO - Epochs: 27 / 510, Time: 86.7, FR training L2 loss 30.75, FR validation L2 loss 32.35, FNR 37.86 %
[03/16/2021 21:16:33] {train.py:252} INFO - Epochs: 28 / 510, Time: 86.9, FR training L2 loss 30.35, FR validation L2 loss 31.93, FNR 37.21 %
[03/16/2021 21:17:59] {train.py:252} INFO - Epochs: 29 / 510, Time: 86.2, FR training L2 loss 30.01, FR validation L2 loss 31.76, FNR 35.73 %
[03/16/2021 21:19:25] {train.py:252} INFO - Epochs: 30 / 510, Time: 86.0, FR training L2 loss 29.67, FR validation L2 loss 31.53, FNR 35.13 %
[03/16/2021 21:20:51] {train.py:252} INFO - Epochs: 31 / 510, Time: 85.9, FR training L2 loss 29.28, FR validation L2 loss 31.34, FNR 34.96 %
[03/16/2021 21:22:17] {train.py:252} INFO - Epochs: 32 / 510, Time: 86.4, FR training L2 loss 29.17, FR validation L2 loss 31.26, FNR 33.61 %
[03/16/2021 21:23:44] {train.py:252} INFO - Epochs: 33 / 510, Time: 86.8, FR training L2 loss 28.99, FR validation L2 loss 31.31, FNR 33.96 %
[03/16/2021 21:25:10] {train.py:252} INFO - Epochs: 34 / 510, Time: 85.6, FR training L2 loss 28.68, FR validation L2 loss 31.34, FNR 33.51 %
[03/16/2021 21:26:36] {train.py:252} INFO - Epochs: 35 / 510, Time: 86.1, FR training L2 loss 28.52, FR validation L2 loss 31.21, FNR 32.87 %
[03/16/2021 21:28:02] {train.py:252} INFO - Epochs: 36 / 510, Time: 85.8, FR training L2 loss 28.35, FR validation L2 loss 31.17, FNR 32.42 %
[03/16/2021 21:29:27] {train.py:252} INFO - Epochs: 37 / 510, Time: 85.7, FR training L2 loss 28.15, FR validation L2 loss 31.01, FNR 32.27 %
[03/16/2021 21:30:53] {train.py:252} INFO - Epochs: 38 / 510, Time: 85.4, FR training L2 loss 28.04, FR validation L2 loss 31.15, FNR 32.09 %
[03/16/2021 21:32:18] {train.py:252} INFO - Epochs: 39 / 510, Time: 84.9, FR training L2 loss 27.87, FR validation L2 loss 31.14, FNR 31.45 %
[03/16/2021 21:33:43] {train.py:252} INFO - Epochs: 40 / 510, Time: 85.5, FR training L2 loss 27.74, FR validation L2 loss 31.13, FNR 31.90 %
[03/16/2021 21:35:08] {train.py:252} INFO - Epochs: 41 / 510, Time: 85.2, FR training L2 loss 27.58, FR validation L2 loss 31.69, FNR 30.67 %
[03/16/2021 21:36:34] {train.py:252} INFO - Epochs: 42 / 510, Time: 85.4, FR training L2 loss 27.40, FR validation L2 loss 31.24, FNR 31.75 %
[03/16/2021 21:37:59] {train.py:252} INFO - Epochs: 43 / 510, Time: 85.5, FR training L2 loss 27.24, FR validation L2 loss 31.23, FNR 30.17 %
[03/16/2021 21:39:25] {train.py:252} INFO - Epochs: 44 / 510, Time: 85.7, FR training L2 loss 27.24, FR validation L2 loss 31.55, FNR 31.46 %
[03/16/2021 21:40:51] {train.py:252} INFO - Epochs: 45 / 510, Time: 85.5, FR training L2 loss 27.16, FR validation L2 loss 31.33, FNR 31.65 %
[03/16/2021 21:42:17] {train.py:252} INFO - Epochs: 46 / 510, Time: 86.2, FR training L2 loss 26.32, FR validation L2 loss 30.88, FNR 30.22 %
[03/16/2021 21:43:42] {train.py:252} INFO - Epochs: 47 / 510, Time: 85.3, FR training L2 loss 26.04, FR validation L2 loss 31.04, FNR 30.06 %
[03/16/2021 21:45:08] {train.py:252} INFO - Epochs: 48 / 510, Time: 85.6, FR training L2 loss 25.90, FR validation L2 loss 31.12, FNR 29.94 %
[03/16/2021 21:46:33] {train.py:252} INFO - Epochs: 49 / 510, Time: 85.2, FR training L2 loss 25.70, FR validation L2 loss 31.26, FNR 29.87 %
[03/16/2021 21:47:58] {train.py:252} INFO - Epochs: 50 / 510, Time: 85.3, FR training L2 loss 25.59, FR validation L2 loss 31.25, FNR 30.12 %
[03/16/2021 21:49:24] {train.py:252} INFO - Epochs: 51 / 510, Time: 85.4, FR training L2 loss 25.52, FR validation L2 loss 31.42, FNR 30.22 %
[03/16/2021 21:50:49] {train.py:252} INFO - Epochs: 52 / 510, Time: 85.0, FR training L2 loss 25.51, FR validation L2 loss 31.33, FNR 30.29 %
[03/16/2021 21:52:14] {train.py:252} INFO - Epochs: 53 / 510, Time: 85.4, FR training L2 loss 25.35, FR validation L2 loss 31.45, FNR 29.96 %
[03/16/2021 21:53:41] {train.py:252} INFO - Epochs: 54 / 510, Time: 86.8, FR training L2 loss 25.27, FR validation L2 loss 31.55, FNR 30.23 %
[03/16/2021 21:55:05] {train.py:252} INFO - Epochs: 55 / 510, Time: 84.3, FR training L2 loss 24.97, FR validation L2 loss 31.40, FNR 29.48 %
[03/16/2021 21:56:25] {train.py:252} INFO - Epochs: 56 / 510, Time: 80.1, FR training L2 loss 24.73, FR validation L2 loss 31.44, FNR 30.21 %
[03/16/2021 21:57:44] {train.py:252} INFO - Epochs: 57 / 510, Time: 79.0, FR training L2 loss 24.66, FR validation L2 loss 31.46, FNR 29.92 %
[03/16/2021 21:59:04] {train.py:252} INFO - Epochs: 58 / 510, Time: 79.3, FR training L2 loss 24.64, FR validation L2 loss 31.62, FNR 30.09 %
[03/16/2021 22:00:23] {train.py:252} INFO - Epochs: 59 / 510, Time: 79.6, FR training L2 loss 24.60, FR validation L2 loss 31.73, FNR 29.86 %
[03/16/2021 22:01:42] {train.py:252} INFO - Epochs: 60 / 510, Time: 79.2, FR training L2 loss 24.40, FR validation L2 loss 31.77, FNR 29.83 %
[03/16/2021 22:03:02] {train.py:252} INFO - Epochs: 61 / 510, Time: 79.2, FR training L2 loss 24.47, FR validation L2 loss 32.01, FNR 29.75 %
[03/16/2021 22:04:21] {train.py:252} INFO - Epochs: 62 / 510, Time: 79.0, FR training L2 loss 24.41, FR validation L2 loss 31.79, FNR 29.59 %
[03/16/2021 22:05:40] {train.py:252} INFO - Epochs: 63 / 510, Time: 79.3, FR training L2 loss 24.12, FR validation L2 loss 31.94, FNR 29.85 %
[03/16/2021 22:06:59] {train.py:252} INFO - Epochs: 64 / 510, Time: 79.4, FR training L2 loss 24.06, FR validation L2 loss 31.99, FNR 29.51 %
[03/16/2021 22:08:19] {train.py:252} INFO - Epochs: 65 / 510, Time: 79.5, FR training L2 loss 23.94, FR validation L2 loss 32.00, FNR 29.67 %
[03/16/2021 22:09:38] {train.py:252} INFO - Epochs: 66 / 510, Time: 79.1, FR training L2 loss 23.90, FR validation L2 loss 32.06, FNR 29.98 %
[03/16/2021 22:10:57] {train.py:252} INFO - Epochs: 67 / 510, Time: 78.9, FR training L2 loss 23.86, FR validation L2 loss 32.10, FNR 29.98 %
[03/16/2021 22:12:16] {train.py:252} INFO - Epochs: 68 / 510, Time: 78.9, FR training L2 loss 23.80, FR validation L2 loss 32.18, FNR 29.68 %
[03/16/2021 22:13:35] {train.py:252} INFO - Epochs: 69 / 510, Time: 79.1, FR training L2 loss 23.89, FR validation L2 loss 32.15, FNR 29.58 %
[03/16/2021 22:14:54] {train.py:252} INFO - Epochs: 70 / 510, Time: 79.1, FR training L2 loss 23.81, FR validation L2 loss 32.31, FNR 29.42 %
[03/16/2021 22:16:13] {train.py:252} INFO - Epochs: 71 / 510, Time: 79.0, FR training L2 loss 23.76, FR validation L2 loss 32.28, FNR 29.47 %
[03/16/2021 22:17:32] {train.py:252} INFO - Epochs: 72 / 510, Time: 79.0, FR training L2 loss 23.73, FR validation L2 loss 32.19, FNR 29.57 %
[03/16/2021 22:18:51] {train.py:252} INFO - Epochs: 73 / 510, Time: 79.3, FR training L2 loss 23.59, FR validation L2 loss 32.34, FNR 29.58 %
[03/16/2021 22:20:11] {train.py:252} INFO - Epochs: 74 / 510, Time: 79.4, FR training L2 loss 23.72, FR validation L2 loss 32.23, FNR 29.59 %
[03/16/2021 22:21:30] {train.py:252} INFO - Epochs: 75 / 510, Time: 79.1, FR training L2 loss 23.49, FR validation L2 loss 32.32, FNR 29.41 %
[03/16/2021 22:22:49] {train.py:252} INFO - Epochs: 76 / 510, Time: 79.1, FR training L2 loss 23.57, FR validation L2 loss 32.39, FNR 29.65 %
[03/16/2021 22:24:08] {train.py:252} INFO - Epochs: 77 / 510, Time: 79.3, FR training L2 loss 23.62, FR validation L2 loss 32.46, FNR 29.54 %
[03/16/2021 22:25:27] {train.py:252} INFO - Epochs: 78 / 510, Time: 79.1, FR training L2 loss 23.47, FR validation L2 loss 32.37, FNR 29.48 %
[03/16/2021 22:26:46] {train.py:252} INFO - Epochs: 79 / 510, Time: 78.9, FR training L2 loss 23.54, FR validation L2 loss 32.32, FNR 29.65 %
[03/16/2021 22:28:05] {train.py:252} INFO - Epochs: 80 / 510, Time: 79.0, FR training L2 loss 23.51, FR validation L2 loss 32.41, FNR 29.64 %
[03/16/2021 22:29:25] {train.py:252} INFO - Epochs: 81 / 510, Time: 79.0, FR training L2 loss 23.38, FR validation L2 loss 32.30, FNR 29.71 %
[03/16/2021 22:30:44] {train.py:252} INFO - Epochs: 82 / 510, Time: 79.2, FR training L2 loss 23.41, FR validation L2 loss 32.43, FNR 29.42 %
[03/16/2021 22:32:03] {train.py:252} INFO - Epochs: 83 / 510, Time: 79.2, FR training L2 loss 23.43, FR validation L2 loss 32.42, FNR 29.87 %
[03/16/2021 22:33:22] {train.py:252} INFO - Epochs: 84 / 510, Time: 78.9, FR training L2 loss 23.38, FR validation L2 loss 32.43, FNR 29.88 %
[03/16/2021 22:34:41] {train.py:252} INFO - Epochs: 85 / 510, Time: 78.7, FR training L2 loss 23.44, FR validation L2 loss 32.41, FNR 29.74 %
[03/16/2021 22:35:59] {train.py:252} INFO - Epochs: 86 / 510, Time: 78.8, FR training L2 loss 23.42, FR validation L2 loss 32.54, FNR 29.67 %
[03/16/2021 22:37:18] {train.py:252} INFO - Epochs: 87 / 510, Time: 78.9, FR training L2 loss 23.44, FR validation L2 loss 32.45, FNR 29.70 %
[03/16/2021 22:38:37] {train.py:252} INFO - Epochs: 88 / 510, Time: 78.9, FR training L2 loss 23.27, FR validation L2 loss 32.51, FNR 29.59 %
[03/16/2021 22:39:56] {train.py:252} INFO - Epochs: 89 / 510, Time: 78.7, FR training L2 loss 23.35, FR validation L2 loss 32.49, FNR 29.63 %
[03/16/2021 22:41:15] {train.py:252} INFO - Epochs: 90 / 510, Time: 78.9, FR training L2 loss 23.51, FR validation L2 loss 32.46, FNR 29.76 %
[03/16/2021 22:42:34] {train.py:252} INFO - Epochs: 91 / 510, Time: 78.7, FR training L2 loss 23.36, FR validation L2 loss 32.51, FNR 29.81 %
[03/16/2021 22:43:52] {train.py:252} INFO - Epochs: 92 / 510, Time: 78.8, FR training L2 loss 23.39, FR validation L2 loss 32.47, FNR 29.57 %
[03/16/2021 22:45:12] {train.py:252} INFO - Epochs: 93 / 510, Time: 79.1, FR training L2 loss 23.55, FR validation L2 loss 32.54, FNR 29.56 %
[03/16/2021 22:46:30] {train.py:252} INFO - Epochs: 94 / 510, Time: 78.6, FR training L2 loss 23.42, FR validation L2 loss 32.45, FNR 29.39 %
[03/16/2021 22:47:49] {train.py:252} INFO - Epochs: 95 / 510, Time: 78.9, FR training L2 loss 23.42, FR validation L2 loss 32.53, FNR 29.46 %
[03/16/2021 22:49:08] {train.py:252} INFO - Epochs: 96 / 510, Time: 78.6, FR training L2 loss 23.25, FR validation L2 loss 32.50, FNR 29.56 %
[03/16/2021 22:50:26] {train.py:252} INFO - Epochs: 97 / 510, Time: 78.8, FR training L2 loss 23.39, FR validation L2 loss 32.48, FNR 29.63 %
[03/16/2021 22:51:46] {train.py:252} INFO - Epochs: 98 / 510, Time: 79.3, FR training L2 loss 23.47, FR validation L2 loss 32.49, FNR 29.73 %
[03/16/2021 22:53:05] {train.py:252} INFO - Epochs: 99 / 510, Time: 79.1, FR training L2 loss 23.45, FR validation L2 loss 32.58, FNR 29.46 %
[03/16/2021 22:54:24] {train.py:252} INFO - Epochs: 100 / 510, Time: 78.8, FR training L2 loss 23.35, FR validation L2 loss 32.54, FNR 29.60 %
[03/16/2021 22:55:43] {train.py:252} INFO - Epochs: 101 / 510, Time: 78.9, FR training L2 loss 23.23, FR validation L2 loss 32.54, FNR 29.56 %
[03/16/2021 22:57:02] {train.py:252} INFO - Epochs: 102 / 510, Time: 78.9, FR training L2 loss 23.20, FR validation L2 loss 32.60, FNR 29.72 %
[03/16/2021 22:58:20] {train.py:252} INFO - Epochs: 103 / 510, Time: 78.9, FR training L2 loss 23.44, FR validation L2 loss 32.60, FNR 29.57 %
[03/16/2021 22:59:40] {train.py:252} INFO - Epochs: 104 / 510, Time: 79.2, FR training L2 loss 23.34, FR validation L2 loss 32.55, FNR 29.77 %
[03/16/2021 23:00:59] {train.py:252} INFO - Epochs: 105 / 510, Time: 79.3, FR training L2 loss 23.29, FR validation L2 loss 32.59, FNR 29.42 %
[03/16/2021 23:02:19] {train.py:252} INFO - Epochs: 106 / 510, Time: 79.6, FR training L2 loss 23.26, FR validation L2 loss 32.56, FNR 29.61 %
[03/16/2021 23:03:38] {train.py:252} INFO - Epochs: 107 / 510, Time: 79.7, FR training L2 loss 23.28, FR validation L2 loss 32.53, FNR 29.54 %
[03/16/2021 23:04:58] {train.py:252} INFO - Epochs: 108 / 510, Time: 79.2, FR training L2 loss 23.38, FR validation L2 loss 32.67, FNR 29.56 %
[03/16/2021 23:06:17] {train.py:252} INFO - Epochs: 109 / 510, Time: 79.6, FR training L2 loss 23.21, FR validation L2 loss 32.61, FNR 29.56 %
[03/16/2021 23:07:37] {train.py:252} INFO - Epochs: 110 / 510, Time: 79.6, FR training L2 loss 23.35, FR validation L2 loss 32.60, FNR 29.51 %
[03/16/2021 23:08:56] {train.py:252} INFO - Epochs: 111 / 510, Time: 79.5, FR training L2 loss 23.39, FR validation L2 loss 32.48, FNR 29.40 %
[03/16/2021 23:10:16] {train.py:252} INFO - Epochs: 112 / 510, Time: 79.2, FR training L2 loss 23.30, FR validation L2 loss 32.54, FNR 29.69 %
[03/16/2021 23:11:35] {train.py:252} INFO - Epochs: 113 / 510, Time: 78.9, FR training L2 loss 23.32, FR validation L2 loss 32.60, FNR 29.61 %
[03/16/2021 23:12:54] {train.py:252} INFO - Epochs: 114 / 510, Time: 79.2, FR training L2 loss 23.30, FR validation L2 loss 32.56, FNR 29.60 %
[03/16/2021 23:14:12] {train.py:252} INFO - Epochs: 115 / 510, Time: 78.7, FR training L2 loss 23.29, FR validation L2 loss 32.51, FNR 29.68 %
[03/16/2021 23:15:31] {train.py:252} INFO - Epochs: 116 / 510, Time: 78.8, FR training L2 loss 23.27, FR validation L2 loss 32.52, FNR 29.60 %
[03/16/2021 23:16:50] {train.py:252} INFO - Epochs: 117 / 510, Time: 78.8, FR training L2 loss 23.16, FR validation L2 loss 32.58, FNR 29.66 %
[03/16/2021 23:18:09] {train.py:252} INFO - Epochs: 118 / 510, Time: 78.5, FR training L2 loss 23.31, FR validation L2 loss 32.52, FNR 29.66 %
[03/16/2021 23:19:27] {train.py:252} INFO - Epochs: 119 / 510, Time: 78.8, FR training L2 loss 23.29, FR validation L2 loss 32.55, FNR 29.71 %
[03/16/2021 23:20:46] {train.py:252} INFO - Epochs: 120 / 510, Time: 78.6, FR training L2 loss 23.33, FR validation L2 loss 32.61, FNR 29.55 %
[03/16/2021 23:22:05] {train.py:252} INFO - Epochs: 121 / 510, Time: 78.6, FR training L2 loss 23.32, FR validation L2 loss 32.55, FNR 29.68 %
[03/16/2021 23:23:24] {train.py:252} INFO - Epochs: 122 / 510, Time: 78.8, FR training L2 loss 23.33, FR validation L2 loss 32.49, FNR 29.66 %
[03/16/2021 23:24:43] {train.py:252} INFO - Epochs: 123 / 510, Time: 79.1, FR training L2 loss 23.30, FR validation L2 loss 32.57, FNR 29.70 %
[03/16/2021 23:26:01] {train.py:252} INFO - Epochs: 124 / 510, Time: 78.8, FR training L2 loss 23.43, FR validation L2 loss 32.54, FNR 29.62 %
[03/16/2021 23:27:20] {train.py:252} INFO - Epochs: 125 / 510, Time: 78.7, FR training L2 loss 23.15, FR validation L2 loss 32.54, FNR 29.62 %
[03/16/2021 23:28:39] {train.py:252} INFO - Epochs: 126 / 510, Time: 78.8, FR training L2 loss 23.47, FR validation L2 loss 32.56, FNR 29.47 %
[03/16/2021 23:29:58] {train.py:252} INFO - Epochs: 127 / 510, Time: 78.7, FR training L2 loss 23.33, FR validation L2 loss 32.56, FNR 29.59 %
[03/16/2021 23:31:17] {train.py:252} INFO - Epochs: 128 / 510, Time: 79.1, FR training L2 loss 23.34, FR validation L2 loss 32.49, FNR 29.59 %
[03/16/2021 23:32:38] {train.py:252} INFO - Epochs: 129 / 510, Time: 81.2, FR training L2 loss 23.29, FR validation L2 loss 32.54, FNR 29.69 %
[03/16/2021 23:34:03] {train.py:252} INFO - Epochs: 130 / 510, Time: 84.7, FR training L2 loss 23.32, FR validation L2 loss 32.55, FNR 29.62 %
[03/16/2021 23:35:27] {train.py:252} INFO - Epochs: 131 / 510, Time: 84.1, FR training L2 loss 23.29, FR validation L2 loss 32.60, FNR 29.90 %
[03/16/2021 23:36:51] {train.py:252} INFO - Epochs: 132 / 510, Time: 83.8, FR training L2 loss 23.36, FR validation L2 loss 32.50, FNR 29.52 %
[03/16/2021 23:38:19] {train.py:252} INFO - Epochs: 133 / 510, Time: 88.4, FR training L2 loss 23.37, FR validation L2 loss 32.51, FNR 29.68 %
[03/16/2021 23:39:44] {train.py:252} INFO - Epochs: 134 / 510, Time: 85.1, FR training L2 loss 23.30, FR validation L2 loss 32.55, FNR 29.54 %
[03/16/2021 23:41:11] {train.py:252} INFO - Epochs: 135 / 510, Time: 86.9, FR training L2 loss 23.23, FR validation L2 loss 32.52, FNR 29.47 %
[03/16/2021 23:42:39] {train.py:252} INFO - Epochs: 136 / 510, Time: 87.7, FR training L2 loss 23.19, FR validation L2 loss 32.58, FNR 29.59 %
[03/16/2021 23:44:05] {train.py:252} INFO - Epochs: 137 / 510, Time: 85.6, FR training L2 loss 23.24, FR validation L2 loss 32.58, FNR 29.70 %
[03/16/2021 23:45:31] {train.py:252} INFO - Epochs: 138 / 510, Time: 86.3, FR training L2 loss 23.45, FR validation L2 loss 32.51, FNR 29.51 %
[03/16/2021 23:46:55] {train.py:252} INFO - Epochs: 139 / 510, Time: 83.7, FR training L2 loss 23.30, FR validation L2 loss 32.56, FNR 29.67 %
[03/16/2021 23:48:19] {train.py:252} INFO - Epochs: 140 / 510, Time: 84.2, FR training L2 loss 23.30, FR validation L2 loss 32.58, FNR 29.69 %
[03/16/2021 23:49:43] {train.py:252} INFO - Epochs: 141 / 510, Time: 83.8, FR training L2 loss 23.40, FR validation L2 loss 32.61, FNR 29.64 %
[03/16/2021 23:51:07] {train.py:252} INFO - Epochs: 142 / 510, Time: 84.3, FR training L2 loss 23.27, FR validation L2 loss 32.56, FNR 29.70 %
[03/16/2021 23:52:31] {train.py:252} INFO - Epochs: 143 / 510, Time: 83.9, FR training L2 loss 23.27, FR validation L2 loss 32.57, FNR 29.76 %
[03/16/2021 23:53:55] {train.py:252} INFO - Epochs: 144 / 510, Time: 83.5, FR training L2 loss 23.31, FR validation L2 loss 32.55, FNR 29.59 %
[03/16/2021 23:55:19] {train.py:252} INFO - Epochs: 145 / 510, Time: 84.1, FR training L2 loss 23.37, FR validation L2 loss 32.61, FNR 29.57 %
[03/16/2021 23:56:43] {train.py:252} INFO - Epochs: 146 / 510, Time: 84.0, FR training L2 loss 23.28, FR validation L2 loss 32.57, FNR 29.71 %
[03/16/2021 23:58:06] {train.py:252} INFO - Epochs: 147 / 510, Time: 83.6, FR training L2 loss 23.31, FR validation L2 loss 32.60, FNR 29.70 %
[03/16/2021 23:59:26] {train.py:252} INFO - Epochs: 148 / 510, Time: 79.7, FR training L2 loss 23.18, FR validation L2 loss 32.43, FNR 29.70 %
[03/17/2021 00:00:44] {train.py:252} INFO - Epochs: 149 / 510, Time: 77.6, FR training L2 loss 23.34, FR validation L2 loss 32.54, FNR 29.63 %
[03/17/2021 00:02:01] {train.py:252} INFO - Epochs: 150 / 510, Time: 77.7, FR training L2 loss 23.36, FR validation L2 loss 32.58, FNR 29.58 %
[03/17/2021 00:03:18] {train.py:252} INFO - Epochs: 151 / 510, Time: 76.4, FR training L2 loss 23.31, FR validation L2 loss 32.54, FNR 29.42 %
[03/17/2021 00:04:34] {train.py:252} INFO - Epochs: 152 / 510, Time: 76.1, FR training L2 loss 23.24, FR validation L2 loss 32.54, FNR 29.77 %
[03/17/2021 09:11:50] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               fc_downsampling: 4                             
